date,actual_return,predicted_return,predicted_volatility,abs_error_ret,mape_ret
2025-07-24,-0.0067178019019262,0.0007288149788260556,0.014502802745801213,0.0074466168807522555,-110.84900968301969
2025-07-25,0.0041358055367659,0.0007288149788260556,0.014872566436784805,0.0034069905579398444,82.37791955286245
2025-07-28,-0.0008621027894895,0.0007288149788260556,0.014726061717292871,0.0015909177683155556,-184.53922057921054
2025-07-29,-0.0105415522952432,0.0007288149788260556,0.014834232038322298,0.011270367274069257,-106.91373488850336
2025-07-30,0.0033890775312448,0.0007288149788260556,0.014815411977329256,0.0026602625524187445,78.49518129618109
2025-07-31,-0.0100171062760976,0.0007288149788260556,0.014858997463274272,0.010745921254923655,-107.2757037685137
2025-08-01,-0.010491675115535,0.0007288149788260556,0.01487111746343375,0.011220490094361057,-106.94660262351148
2025-08-04,0.0121528053586734,0.0007288149788260556,0.014898337112250672,0.011423990379847343,94.0029074990006
2025-08-05,0.0054255783416587,0.0007288149788260556,0.014917575664905912,0.004696763362832645,86.56705455287477
2025-08-06,-0.0057022300760909,0.0007288149788260556,0.014940287442096132,0.006431045054916955,-112.78122715324889
2025-08-07,-0.0070343987250405,0.0007288149788260556,0.014960800159273278,0.007763213703866555,-110.36072885990494
2025-08-08,-0.0043285732114926,0.0007288149788260556,0.014981934633176089,0.005057388190318655,-116.8373028066387
2025-08-11,0.0025155722460299,0.0007288149788260556,0.015002299547807595,0.001786757267203844,71.02786533059114
2025-08-12,0.0162906129377358,0.0007288149788260556,0.015022592394848475,0.015561797958909745,95.52616600976494
2025-08-13,0.0023774160139238,0.0007288149788260556,0.01504247457813632,0.0016486010350977441,69.34423867940617
2025-08-14,-0.011112730713207,0.0007288149788260556,0.015062121221147626,0.011841545692033056,-106.55837883266524
2025-08-15,-0.0048603752877145,0.0007288149788260556,0.015081452521071029,0.005589190266540555,-114.9950350679354
2025-08-18,0.0049527438116383,0.0007288149788260556,0.015100514981446699,0.004223928832812245,85.2846218874993
2025-08-19,-0.0217983309699185,0.0007288149788260556,0.015119292329315278,0.022527145948744557,-103.34344395372203
2025-08-20,0.0007076033673527,0.0007288149788260556,0.015137799302613992,2.1211611473355603e-05,2.9976696624145402
2025-08-21,0.0061584374417265,0.0007288149788260556,0.015156035133964931,0.005429622462900445,88.16558606428364
2025-08-22,0.0129448380111636,0.0007288149788260556,0.01517400662631991,0.012216023032337544,94.3698408724966
2025-08-25,0.0002313432634952,0.0007288149788260556,0.015191716709598147,0.0004974717153308556,215.03617949142372
2025-08-26,0.0190586549440032,0.0007288149788260556,0.015209170119682936,0.018329839965177144,96.17593696424323
2025-08-27,-0.0035459307922263,0.0007288149788260556,0.015226370583984796,0.004274745771052356,-120.5535590379775
2025-08-28,0.0031374767884022,0.0007288149788260556,0.01524332222008281,0.0024086618095761443,76.77066547487627
2025-08-29,-0.0129311392158673,0.0007288149788260556,0.015260028844364773,0.013659954194693355,-105.63612352059249
2025-09-02,0.0012410044160464,0.0007288149788260556,0.01527649431737742,0.0005121894372203444,41.272168785029855
2025-09-03,-0.0121074565950518,0.0007288149788260556,0.015292722374823103,0.012836271573877856,-106.01955475210141
2025-09-04,0.0009293956729834,0.0007288149788260556,0.015308716713654363,0.00020058069415734435,21.581840758250113
